name,status,oldPrerequisite,newPrerequisite,prerequisiteChanged,oldBenefit,newEffect,oldSummary,newSummary,sourceUrl
Never Surrender,updated,Trained in Endurance,Trained in Endurance,no,Make an Endurance check to prevent falling to 0 Hit Points.,"The first time you would be reduced to 0 Hit Points in an encounter, you can make an Endurance check as a Reaction, with a DC equal to the number of points of damage being dealt to you. If your check succeeds, you are instead reduced to 1 Hit Point.",Make an Endurance check to prevent falling to 0 Hit Points.,Make an Endurance check to prevent falling to 0 Hit Points.,https://swse.fandom.com/wiki/Never_Surrender
Steadying Position,updated,Careful Shot,Careful Shot,no,Deny target's Dexterity bonus to Reflex Defense when you are Prone and Aiming.,"When you are Prone and Aim before making a ranged attack, your target does not benefit from its Dexterity bonus to its Reflex Defense.",Deny target's Dexterity bonus to Reflex Defense when you are Prone and Aiming.,Deny target's Dexterity bonus to Reflex Defense when you are Prone and Aiming.,https://swse.fandom.com/wiki/Steadying_Position
Frightening Cleave,updated,"Strength 13, Cleave, Power Attack, Base Attack Bonus +4","Strength 13, Cleave, Power Attack, Base Attack Bonus +4",no,"When you use the Cleave feat, each enemy within 6 squares and line of sight takes a penalty to Reflex Defense, Skill Checks, and attack rolls against you.","Immediately after you use the Cleave Feat, each enemy within 6 squares of you and within your line of sight takes a -1 penalty to its Reflex Defense, attack rolls, and Skill Checks against you until the end of the encounter. This penalty stacks with itself to a maximum of -5. This is a Mind-Affecting effect.","When you use the Cleave feat, each enemy within 6 squares and line of sight takes a penalty to Reflex Defense, Skill Checks, and attack rolls against you.","When you use the Cleave feat, each enemy within 6 squares and line of sight takes a penalty to Reflex Defense, Skill Checks, and attack rolls against you.",https://swse.fandom.com/wiki/Frightening_Cleave
Desperate Gambit,updated,None,None,no,Reroll missed attack by taking a -2 penalty (or -5 for Natural 1) to Reflex Defense.,"Once per turn, when you miss on an attack roll, you reroll the attack, but you take a -2 penalty to Reflex Defense until the end of your next turn. If your first attack missed because you rolled a Natural 1, you can still use this Feat, but you take a -5 penalty to Reflex Defense instead. You must accept the result of the second roll, even if it's worse than the first.",Reroll missed attack by taking a -2 penalty (or -5 for Natural 1) to Reflex Defense.,Reroll missed attack by taking a penalty to Reflex Defense.,https://swse.fandom.com/wiki/Desperate_Gambit
Opportunistic Trickery,updated,"Combat Reflexes, Sneak Attack","Combat Reflexes, Sneak Attack",no,Sacrifice Attack of Opportunity to reduce target's Reflex Defense by 2.,"Whenever an opponent provokes an Attack of Opportunity from you, once per turn you can sacrifice that attack to reduce the target's Reflex Defense by 2 for the following round.",Sacrifice Attack of Opportunity to reduce target's Reflex Defense by 2.,Sacrifice Attack of Opportunity to reduce target's Reflex Defense by 2.,https://swse.fandom.com/wiki/Opportunistic_Trickery
Pall of the Dark Side,updated,Dark Side Score 1+,Dark Side Score 1+,no,Add half your Dark Side Score to Use the Force checks to resist detection.,You can add one-half your Dark Side Score (Minimum 1) to any Use the Force checks made to resist attempts to detect you with the Sense Force application of the Use the Force skill.,Add half your Dark Side Score to Use the Force checks to resist detection.,Add half your Dark Side Score to Use the Force checks to resist detection.,https://swse.fandom.com/wiki/Pall_of_the_Dark_Side
Cunning Attack,updated,None,None,no,Gain +2 bonus on attack rolls against Flat-Footed enemies.,You gain a +2 bonus on attack rolls against a Flat-Footed enemy or one who is denied its Dexterity bonus to its Reflex Defense.,Gain +2 bonus on attack rolls against Flat-Footed enemies.,Gain +2 bonus on attack rolls against Flat-Footed enemies.,https://swse.fandom.com/wiki/Cunning_Attack
Silver Tongue,updated,Trained in Persuasion,Trained in Persuasion,no,Intimidate a creature or change its Attitude as a Standard Action.,You can Intimidate or Change Attitude as a Standard Action.,Intimidate a creature or change its Attitude as a Standard Action.,Intimidate a creature or change its Attitude as a Standard Action.,https://swse.fandom.com/wiki/Silver_Tongue
Survivor of Ryloth,db_only_not_updated,Twi'lek,Twi'lek,no,Make Survival checks to resist Extreme Heat and Extreme Cold.,Make Survival checks to resist Extreme Heat and Extreme Cold.,Make Survival checks to resist Extreme Heat and Extreme Cold.,Make Survival checks to resist Extreme Heat and Extreme Cold.,
Improved Knock Prone,db_only_not_updated,"Int 13, Knock Prone","Int 13, Knock Prone",no,You gain a +5 bonus on attack rolls made to knock an opponent prone.,You gain a +5 bonus on attack rolls made to knock an opponent prone.,You gain a +5 bonus on attack rolls made to knock an opponent prone.,You gain a +5 bonus on attack rolls made to knock an opponent prone.,
Dreadful Rage,updated,"Rage Species Trait, Base Attack Bonus +1","Rage Species Trait, Base Attack Bonus +1",no,Rage bonus to attacks and damage increases to +5.,"While Raging, your Rage bonus on melee attack rolls and melee damage rolls increases to +5.",Rage bonus to attacks and damage increases to +5.,Rage bonus to attacks and damage increases to +5.,https://swse.fandom.com/wiki/Dreadful_Rage
Martial Arts I,updated,None,None,no,Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,"Damage dealt by your Unarmed Attacks increases by one die step. In addition, you gain a +1 dodge bonus to your Reflex Defense. Additionally, you do not provoke Attacks of Opportunity with Unarmed Attacks.",Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,https://swse.fandom.com/wiki/Martial_Arts_I
Rancor Crush,updated,"Strength 15, Crush, Pin, Base Attack Bonus +1","Strength 15, Crush, Pin, Base Attack Bonus +1",no,Move an enemy -1 step down the Condition Track when using the Crush feat.,"When you successfully Pin an enemy with the Pin Feat and use the Crush Feat at the same time, the enemy moves -1 step down the Condition Track in addition to taking damage.",Move an enemy -1 step down the Condition Track when using the Crush feat.,Move an enemy -1 step down the Condition Track when using the Crush feat.,https://swse.fandom.com/wiki/Rancor_Crush
Power Blast,updated,None,None,no,Trade attack bonus for damage on ranged attacks (up to your Base Attack Bonus).,"As a Swift Action, before making an attack roll, you can choose to subtract a number from all ranged attack rolls and add the same number to all ranged damage rolls. This number cannot exceed your Base Attack Bonus. The penalty on attacks and bonus on damage applies until the start of your next turn but you gain no bonus to damage with Area Attacks or when attacking objects or Vehicles with this Feat.",Trade attack bonus for damage on ranged attacks (up to your Base Attack Bonus).,Trade attack bonus for damage on ranged attacks (up to your Base Attack Bonus).,https://swse.fandom.com/wiki/Power_Blast
Disabler,updated,None,None,no,Gain benefits when using certain Ion weapons.,"When making a ranged attack with an Ion Weapon with which you are proficient, you gain one of the following benefits, depending on the kind of weapon you use.

- Ion Grenade: When you use an Ion Grenade, the Grenade's Burst radius is 3 squares instead of 2 squares.
- Ion Pistol: When you use an Ion Pistol, the damage dice increase from d6 to d8.
- Ion Rifle: You treat the Ion Rifle as an Accurate Weapon.",Gain benefits when using certain Ion weapons.,Gain benefits when using certain Ion weapons.,https://swse.fandom.com/wiki/Disabler
Rapid Shot,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,Take a -2 penalty on a ranged attack roll to deal +1 die of damage.,"When using a ranged weapon with which you are proficient, you may fire two shots as a single attack against a single target. You take a -2 penalty on your attack roll, but you deal +1 die of damage with a successful attack.",Take a -2 penalty on a ranged attack roll to deal +1 die of damage.,Take a -2 penalty on a ranged attack roll to deal +1 die of damage.,https://swse.fandom.com/wiki/Rapid_Shot
Sniper Shot,updated,None,None,no,Increase accuracy at a -5 Reflex Defense penalty.,"When wielding only ranged weapons with which you are proficient, you gain a +2 bonus on all your ranged attacks until the beginning of your next turn, but you take a -5 penalty to Reflex Defense.",Increase accuracy at a -5 Reflex Defense penalty.,Increase accuracy at a -5 Reflex Defense penalty.,https://swse.fandom.com/wiki/Sniper_Shot
Quick Skill,updated,None,None,no,"Take 10 on Skill Checks when rushed, Take 20 in half of the normal time.","Once per encounter, you can Take 10 when rushed on a single Skill Check for a Skill you are Trained in, unless the Skill description explicitly forbids it. Alternatively, you can Take 20 when using a Skill you are Trained in at half the normal time required.","Take 10 on Skill Checks when rushed, Take 20 in half of the normal time.","Take 10 on Skill Checks when rushed, Take 20 in half of the normal time.",https://swse.fandom.com/wiki/Quick_Skill
Disarming Charm,db_only_not_updated,Sullustan,Sullustan,no,Gain a bonus to Skill Checks on targets whose Attitude you have improved.,Gain a bonus to Skill Checks on targets whose Attitude you have improved.,Gain a bonus to Skill Checks on targets whose Attitude you have improved.,Gain a bonus to Skill Checks on targets whose Attitude you have improved.,
Coordinated Attack,updated,Base Attack Bonus +2,Base Attack Bonus +2,no,Automatic success with Aid Another action at Point-Blank Range.,"You are automatically successful when using the Aid Another action to aid an ally's attack, or suppress an enemy as long as the target is adjacent to you or within Point-Blank Range.",Automatic success with Aid Another action at Point-Blank Range.,Automatic success with Aid Another action at Point-Blank Range.,https://swse.fandom.com/wiki/Coordinated_Attack
Improved Damage Threshold,updated,None,None,no,Damage Threshold increases by 5 points.,You increase your Damage Threshold by 5 points.,Damage Threshold increases by 5 points.,Damage Threshold increases by 5 points.,https://swse.fandom.com/wiki/Improved_Damage_Threshold
Fast Talk,db_only_not_updated,Trained in Persuasion,Trained in Persuasion,no,You may make a Persuasion check to feint in combat as a swift action instead of a standard action.,You may make a Persuasion check to feint in combat as a swift action instead of a standard action.,You may make a Persuasion check to feint in combat as a swift action instead of a standard action.,You may make a Persuasion check to feint in combat as a swift action instead of a standard action.,
Martial Arts III,updated,"Martial Arts I, Martial Arts II, Base Attack Bonus +6","Martial Arts I, Martial Arts II, Base Attack Bonus +6",no,Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,"Damage dealt by your Unarmed attacks increases by one die step. In addition, you gain a +1 dodge bonus to your Reflex Defense (Which stacks with the dodge bonuses granted by the Martial Arts I and Martial Arts II Feats).",Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,Increases damage from Unarmed attacks by one die step; gain +1 bonus to Reflex Defense.,https://swse.fandom.com/wiki/Martial_Arts_III
Bantha Herder,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,Move a target damaged by your attack.,"When you damage a Large or smaller creature with a ranged attack with a weapon you are proficient with, compare the result of your attack roll to the target's Will Defense. If your result equals or exceeds the target's Will Defense, you can move the target 1 square in any direction as a Free Action.

If your ranged attack deals damage to multiple eligible creatures, you can use this benefit against all of them. You can't move a target that's being Grabbed or Grappled, and you can't move a target into a solid object or into another creature's Fighting Space.",Move a target damaged by your attack.,Move a target damaged by your attack.,https://swse.fandom.com/wiki/Bantha_Herder
Mind of Reason,db_only_not_updated,Cerean,Cerean,no,Use Wisdom instead of Intelligence for Intelligence-based Skill Checks.,Use Wisdom instead of Intelligence for Intelligence-based Skill Checks.,Use Wisdom instead of Intelligence for Intelligence-based Skill Checks.,Use Wisdom instead of Intelligence for Intelligence-based Skill Checks.,
Unswerving Resolve,updated,Base Attack Bonus +2,Base Attack Bonus +2,no,"Whenever you resist a Fear or Mind-Affecting effect, you gain a temporary Force Point.","Whenever you are targeted by a Fear effect or Mind-Affecting effect that fails to affect you, you gain a temporary Force Point. If this Force Point is not used before the end of your next turn, it goes away. If you negate the contingent effect in any way, you do not gain the benefit of this Feat.","Whenever you resist a Fear or Mind-Affecting effect, you gain a temporary Force Point.","Whenever you resist a Fear or Mind-Affecting effect, you gain a temporary Force Point.",https://swse.fandom.com/wiki/Unswerving_Resolve
Mighty Throw,updated,Strength 13,Strength 13,no,Add Strength bonus to ranged attack rolls.,"You can add your Strength modifier (in addition to your Dexterity modifier) to your ranged attack bonus when using Thrown Weapons (including Grenades and grenadelike weapons). Also, you can increase the length of each Range category by a number of squares equal to your Strength modifier.",Add Strength bonus to ranged attack rolls.,Add Strength bonus to ranged attack rolls.,https://swse.fandom.com/wiki/Mighty_Throw
Erratic Target,updated,"Droid with Hovering or Flying Locomotion, Dexterity 13, Dodge","Droid, Hovering or Flying Locomotion, Dexterity 13, Dodge",yes,Reduce Speed by up to 2 squares to increase dodge bonus to Reflex Defense.,"You can reduce your Speed by up to 2 squares to increase your Dodge bonus by 1 for each square of speed you give up, until the start of your next turn. You must move at least 2 squares to gain this benefit.",Reduce Speed by up to 2 squares to increase dodge bonus to Reflex Defense.,Reduce Speed by up to 2 squares to increase dodge bonus to Reflex Defense.,https://swse.fandom.com/wiki/Erratic_Target
Great Fortitude,db_only_not_updated,,,no,You gain a +2 bonus to your Fortitude Defense.,You gain a +2 bonus to your Fortitude Defense.,You gain a +2 bonus to your Fortitude Defense.,You gain a +2 bonus to your Fortitude Defense.,
Combat Trickery,updated,Trained in Deception,Trained in Deception,no,Spend two Swift Actions to make Deception check to make enemy Flat-Footed.,"You can spend two successive Swift Actions on the same turn to make a Deception check against a target's Will Defense. If the check is successful, the target is Flat-Footed against your next attack made before the end of your next turn. Additionally, you can spend a Force Point to extend your target's penalties until the end of encounter.",Spend two Swift Actions to make Deception check to make enemy Flat-Footed.,Spend two Swift Actions to make Deception check to make enemy Flat-Footed.,https://swse.fandom.com/wiki/Combat_Trickery
Feat of Strength,updated,Strength 15,Strength 15,no,Take 10 or Take 20 on one Strength check or related Skill Check per encounter.,"Once per encounter as a Full-Round Action, you can Take 20 on a Strength check or Strength -based Skill Check (You must be Trained in that Skill), even if distracted or threatened.",Take 10 or Take 20 on one Strength check or related Skill Check per encounter.,Take 10 or Take 20 on one Strength check or related Skill Check per encounter.,https://swse.fandom.com/wiki/Feat_of_Strength
Force Training,updated,Force Sensitivity,"Force Sensitivity, Trained in Use the Force.",yes,Learn a number of Force Powers equal to 1 + your Wisdom modifier (minimum 1).,You add to your Force Power Suite a number of Force Powers equal to 1 + your Wisdom modifier (Minimum 1). You can add the same Force Power more than once.,Learn a number of Force Powers equal to 1 + your Wisdom modifier (minimum 1).,Learn a number of Force Powers equal to 1 + your Wisdom modifier (minimum 1).,https://swse.fandom.com/wiki/Force_Training
Targeted Area,updated,Base Attack Bonus +5,Base Attack Bonus +5,no,Deal an additional 5 points of damage against one target within a successful Area Attack.,"When you make a successful Area Attack with a weapon with which you are proficient, select a target hit by the attack. That target takes an additional 5 points of damage from the attack, before applying the effect of the Evasion Talent.",Deal an additional 5 points of damage against one target within a successful Area Attack.,Deal an additional 5 points of damage against one target within a successful Area Attack.,https://swse.fandom.com/wiki/Targeted_Area
Slammer,updated,"Small or larger Droid with 2+ Appendages, Strength 13","Droid, Small size or larger, 2+ Appendages, Strength 13",yes,Double Strength bonus to damage rolls on this special melee attack.,"As a Standard Action, you slam two of your Appendages together from either side of an enemy, crushing your target between them. Make a melee attack. If the attack is successful, you deal Unarmed damage with double your Strength bonus. If you also exceed the target's Damage Threshold, it has a Persistent Condition that can only be removed with 8 hours of rest or a DC 20 Treat Injury check.",Double Strength bonus to damage rolls on this special melee attack.,Double Strength bonus to damage rolls on this special melee attack.,https://swse.fandom.com/wiki/Slammer
Inborn Resilience,db_only_not_updated,Zabrak,Zabrak,no,Reduce one Defense bonus but increase another.,Reduce one Defense bonus but increase another.,Reduce one Defense bonus but increase another.,Reduce one Defense bonus but increase another.,
Advantageous Attack,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,Add full Heroic Level to attacks against slower enemies.,"When you make a successful attack against an enemy who has not yet acted in combat, you add your full Heroic Level to damage rolls.",Add full Heroic Level to attacks against slower enemies.,Add full Heroic Level to attacks against slower enemies.,https://swse.fandom.com/wiki/Advantageous_Attack
Devastating Bellow,db_only_not_updated,Ithorian,Ithorian,no,Deal more damage with your Bellow attacks.,Deal more damage with your Bellow attacks.,Deal more damage with your Bellow attacks.,Deal more damage with your Bellow attacks.,
Vitality Surge,updated,Extra Second Wind,Extra Second Wind,no,Catch a Second Wind even when not at or below half Hit Points.,You can catch a Second Wind even if you are not at or below half your maximum Hit Points.,Catch a Second Wind even when not at or below half Hit Points.,Catch a Second Wind even when not at or below half Hit Points.,https://swse.fandom.com/wiki/Vitality_Surge
Flash and Clear,updated,None,None,no,Gain Concealment against a target you damage with a Burst or Splash weapon.,"When you damage a target with a Burst or Splash weapon, you gain Concealment against that target until the beginning of your next turn.",Gain Concealment against a target you damage with a Burst or Splash weapon.,Gain Concealment against a target you damage with a Burst or Splash weapon.,https://swse.fandom.com/wiki/Flash_and_Clear
Heavy Hitter,updated,Weapon Focus (Heavy Weapons),Weapon Focus (Heavy Weapons),no,"Add +1 point of damage for every 5 points rolled above the target's Reflex Defense, plus additional benefits when you exceed the target's Damage Threshold.","When making an attack roll using a Weapon Emplacement or a Weapon System, you add an additional 1 point of damage for every 5 points you roll above the target's Reflex Defense. If you exceed the target's Damage Threshold, then on its next turn the target cannot attack and its speed is reduced by 2 squares (1 square Starship Scale).","Add +1 point of damage for every 5 points rolled above the target's Reflex Defense, plus additional benefits when you exceed the target's Damage Threshold.","Add +1 point of damage for every 5 points rolled above the target's Reflex Defense, plus additional benefits when you exceed the target's Damage Threshold.",https://swse.fandom.com/wiki/Heavy_Hitter
Rapport,updated,Wisdom 13,Wisdom 13,no,Grant an additional +2 bonus when using the Aid Another action.,"When using the Aid Another Action, you grant an additional +2 insight bonus on Skill Checks and attack rolls to the character you are assisting. This bonus does not stack with any bonus provided by the Noble's Coordinate Talent.",Grant an additional +2 bonus when using the Aid Another action.,Grant an additional +2 bonus when using the Aid Another action.,https://swse.fandom.com/wiki/Rapport
Fight Through Pain,updated,None,None,no,Use your Will Defense to determine your Damage Threshold.,You can use your Will Defense instead of your Fortitude Defense when determining your Damage Threshold.,Use your Will Defense to determine your Damage Threshold.,Use your Will Defense to determine your Damage Threshold.,https://swse.fandom.com/wiki/Fight_Through_Pain
Resilient Strength,updated,Strength 13,Strength 13,no,Use Strength or Constitution to determine Fortitude Defense.,You can use either your Strength modifier or your Constitution modifier to determine your Fortitude Defense.,Use Strength or Constitution to determine Fortitude Defense.,Use Strength or Constitution to determine Fortitude Defense.,https://swse.fandom.com/wiki/Resilient_Strength
Expert Briber,updated,Charisma 13,Charisma 13,no,Reduce the time and cost of Bribery attempts.,"When using the Haggle or Bribery applications of the Persuasion skill, you reduce the DC to reduce the price of the item haggled over by 10.",Reduce the time and cost of Bribery attempts.,Reduce the time and cost of Bribery attempts.,https://swse.fandom.com/wiki/Expert_Briber
Superior Tech,updated,"Intelligence 17, Tech Specialist, 9th level","Intelligence 17, Tech Specialist, 9th Character Level",yes,Install superior equipment upgrades.,"Select one of the following: Armor, Weapons, Droids, Vehicles, or Devices. You can install advanced Traits when modifying the selected type of equipment. These Traits replace the Traits granted by the Tech Specialist Feat. You may still use the Tech Specialist options if you so choose.

You must pay one-fifth the cost of the Device, Armor, Weapon, Droid, or vehicle you wish to modify or 2,000 credits, whichever is more, before beginning the modification. This fee replaces the normal cost of modification from the Tech Specialist Feat. Completing the modification requires 1 day per 1,000 credits of the modification's cost. At the end of this time, make a DC 30 Mechanics check; you cannot Take 10 or Take 20 on this check. If the check succeeds, the modification is completed successfully, and the object gains the desired Trait. If the check fails, you lose all credits spent on making the modification, and the object does not gain the desired Trait. However, you can start over from scratch if you wish.

Only characters with the Tech Specialist Feat can assist you, reducing proportionately the time needed to complete the modification. At the end of the modification process, they can make a Mechanics check to aid your check.

The market value of a modified item is equal to the base cost of the item plus double the cost of the modifications made to it (not including credits wasted on failed modification attempts).",Install superior equipment upgrades.,Install superior equipment upgrades.,https://swse.fandom.com/wiki/Superior_Tech
Logic Upgrade: Tactician,db_only_not_updated,"Droid, Base Attack Bonus +4","Droid, Base Attack Bonus +4",no,Grant a +5 bonus to attack with a successful Aid Another attempt.,Grant a +5 bonus to attack with a successful Aid Another attempt.,Grant a +5 bonus to attack with a successful Aid Another attempt.,Grant a +5 bonus to attack with a successful Aid Another attempt.,
Trip,updated,Base Attack Bonus +1,Base Attack Bonus +1,no,"Trip an opponent that you've Grappled, knocking it Prone.","If you succeed on a Grappling attack and your opponent fails the opposed Grapple check, it falls Prone in its space and is no longer considered Grappled. A Prone opponent takes a -5 penalty on melee attack rolls. Melee attacks made against a Prone target gain a +5 bonus, while ranged attack made against a prone target take a -5 penalty.","Trip an opponent that you've Grappled, knocking it Prone.","Trip an opponent that you've Grappled, knocking it Prone.",https://swse.fandom.com/wiki/Trip
Charging Fire,updated,Base Attack Bonus +4,Base Attack Bonus +4,no,Make ranged attack at end of a Charge; take a -2 penalty to Reflex Defense.,"When you Charge, you may make a ranged attack instead of a melee attack at the end of your movement. Unlike a normal Charge, your momentum does not help you overcome your target, so you gain no bonus on your attack roll. As with a normal Charge, you still take a -2 penalty to your Reflex Defense.",Make ranged attack at end of a Charge; take a -2 penalty to Reflex Defense.,Make ranged attack at end of a Charge; take a -2 penalty to Reflex Defense.,https://swse.fandom.com/wiki/Charging_Fire
Warrior Heritage,db_only_not_updated,Gungan,Gungan,no,Gain a bonus to Will Defense when using an Atlatl or Cesta.,Gain a bonus to Will Defense when using an Atlatl or Cesta.,Gain a bonus to Will Defense when using an Atlatl or Cesta.,Gain a bonus to Will Defense when using an Atlatl or Cesta.,
Skill Training,updated,None,None,no,You become Trained in one Class Skill.,Choose one Untrained Skill from your list of Class Skills. You become Trained in that Skill.,You become Trained in one Class Skill.,You become Trained in one Class Skill.,https://swse.fandom.com/wiki/Skill_Training
Savage Attack,updated,Double Attack (Chosen Weapon),Double Attack (Chosen Weapon),no,Add +1 die of damage when successful on a Full Attack.,"Choose one weapon groups or Exotic Weapon you have selected for the Double Attack Feat. When you use a Full Attack Action and successfully hit the target with your first attack, you deal +1 die of damage on each successful attack remaining in the Full Attack made against that target.",Add +1 die of damage when successful on a Full Attack.,Add +1 die of damage when successful on a Full Attack.,https://swse.fandom.com/wiki/Savage_Attack
Mounted Defense,updated,Trained in Pilot or Ride,Trained in Pilot or Ride,no,"You are able to react to incoming attacks, using you Mount or Speeder Bike to absorb attacks against you.","When riding a Beast as a Mount or on a Speeder Bike (as a passenger or a Pilot), once per encounter you can redirect any attack made against you at your Mount or Vehicle instead. The decision to redirect the attack is made after the result of the attack roll is determined but before damage or other effects are resolved.","You are able to react to incoming attacks, using you Mount or Speeder Bike to absorb attacks against you.","You are able to react to incoming attacks, using you Mount or Speeder Bike to absorb attacks against you.",https://swse.fandom.com/wiki/Mounted_Defense
Sadistic Strike,updated,None,None,no,Move opponents -1 step on the Condition Track when you deliver a Coup de Grace.,"When you deliver a Coup de Grace to a Helpless creature, all opponents within line of sight move -1 step on the Condition Track until the end of encounter.",Move opponents -1 step on the Condition Track when you deliver a Coup de Grace.,Move opponents -1 step on the Condition Track when you deliver a Coup de Grace.,https://swse.fandom.com/wiki/Sadistic_Strike
Lasting Influence,db_only_not_updated,Bothan,Bothan,no,"After a successful Persuasion check, gain a bonus to future Persuasion checks.","After a successful Persuasion check, gain a bonus to future Persuasion checks.","After a successful Persuasion check, gain a bonus to future Persuasion checks.","After a successful Persuasion check, gain a bonus to future Persuasion checks.",
Assured Attack,updated,None,None,no,Reroll the lowest damage die when making a successful attack.,"Whenever you deal damage to a target with an attack and you roll multiple damage dice, you can reroll the lowest damage die but must keep the second result, even if it is worse.",Reroll the lowest damage die when making a successful attack.,Reroll the lowest damage die when making a successful attack.,https://swse.fandom.com/wiki/Assured_Attack
Droidcraft,updated,Trained in Mechanics,Trained in Mechanics,no,Repair a Droid in 10 minutes instead of 1 hour.,You can use the Repair Droid aspect of the Mechanics skill in 10 minutes.,Repair a Droid in 10 minutes instead of 1 hour.,Repair a Droid in 10 minutes instead of 1 hour.,https://swse.fandom.com/wiki/Droidcraft
Intuitive Initiative,db_only_not_updated,Trained in Use the Force,Trained in Use the Force,no,You may reroll your Initiative check and take the better result. You must keep the new result even if it is worse.,You may reroll your Initiative check and take the better result. You must keep the new result even if it is worse.,You may reroll your Initiative check and take the better result.,You may reroll your Initiative check and take the better result.,
Mounted Combat,updated,Trained in Ride,Trained in Ride,no,Increase Speed and avoid attacks when riding a Mount.,"You can make a DC 20 Ride check as a Swift Action to spur your living Mount to move faster than its normal speed. If the check fails, your Mount's Speed does not increase and it moves -1 step on the Condition Track. If the check succeeds, your Mount's Speed increases by 2 squares until the start of your next turn. You cannot Take 10 on this check. Your Mount must succeed on a DC 20 Endurance check prior to each subsequent attempt to use this Feat in the same encounter.

Additionally, once per round, as a Reaction, when you are riding a Mount, you can negate a weapon hit against either you or the Mount by making a successful Ride check. The DC of the Skill Check is equal to the result of the attack roll you want to negate.",Increase Speed and avoid attacks when riding a Mount.,Increase Speed and avoid attacks when riding a Mount.,https://swse.fandom.com/wiki/Mounted_Combat
K'thri Training,db_only_not_updated,"Dual Weapon Mastery I, Martial Arts I","Dual Weapon Mastery I, Martial Arts I",no,Make swift Unarmed attacks. Deal half damage on misses.,Make swift Unarmed attacks. Deal half damage on misses.,Make swift Unarmed attacks.,Make swift Unarmed attacks.,
Teräs Käsi Training,db_only_not_updated,"Strength 13, Martial Arts I","Strength 13, Martial Arts I",no,Treat target's Damage Threshold as lower.,Treat target's Damage Threshold as lower.,Treat target's Damage Threshold as lower.,Treat target's Damage Threshold as lower.,
Fringe Benefits,db_only_not_updated,Rodian,Rodian,no,Reduce the cost multiplier of goods bought on the Black Market.,Reduce the cost multiplier of goods bought on the Black Market.,Reduce the cost multiplier of goods bought on the Black Market.,Reduce the cost multiplier of goods bought on the Black Market.,
Unified Squadron,db_only_not_updated,Trained in Pilot,Trained in Pilot,no,Gain bonuses on Pilot checks checks when near allies.,Gain bonuses on Pilot checks checks when near allies.,Gain bonuses on Pilot checks checks when near allies.,Gain bonuses on Pilot checks checks when near allies.,
Frightful Presence,db_only_not_updated,Charisma 15,Charisma 15,no,"As a standard action, you may make a Persuasion check to intimidate all enemies within 6 squares. On a success, targets move -1 step down the condition track.","As a standard action, you may make a Persuasion check to intimidate all enemies within 6 squares. On a success, targets move -1 step down the condition track.","As a standard action, you may make a Persuasion check to intimidate all enemies within 6 squares.","As a standard action, you may make a Persuasion check to intimidate all enemies within 6 squares.",
Instinctive Defense,updated,Non-Droid,Cannot be a Droid,yes,Spend a Force Point to increase all Defenses by +2 for 1 round.,"On your turn, as a Free Action, you can spend a Force Point to increase all of your Defenses by 2 until the start of your next turn.",Spend a Force Point to increase all Defenses by +2 for 1 round.,Spend a Force Point to increase all Defenses by +2 for 1 round.,https://swse.fandom.com/wiki/Instinctive_Defense
Cybernetic Surgery,updated,Trained in Treat Injury,Trained in Treat Injury,no,Install a Cybernetic Prosthesis onto a living being.,"You can install Cybernetic Devices on living beings. The surgical procedure takes 1 hour of uninterrupted work, after which you must make a DC 20 Treat Injury check. If the check succeeds, the Cybernetic Device is installed correctly. If the check fails, the device is not properly installed; however, you can try again after another uninterrupted hour of surgery.",Install a Cybernetic Prosthesis onto a living being.,Install a Cybernetic Prosthesis onto a living being.,https://swse.fandom.com/wiki/Cybernetic_Surgery
Suppression Fire,updated,"Strength 13, Burst Fire, Weapon Proficiency (Heavy Weapons)","Strength 13, Burst Fire, Weapon Proficiency (Heavy Weapons)",no,You can lay down a hail of blaster fire to pin your opponents.,"When you use the Aid Another action to impose a penalty to an enemy's attack rolls and your attack roll exceeds the target's Will Defense, that enemy must end its next turn in a position where it has Cover from you if possible. Targets whose level is equal to or higher than your Character Level are immune to the effect of Suppression Fire. This is a Mind-Affecting Fear effect.",You can lay down a hail of blaster fire to pin your opponents.,You can lay down a hail of blaster fire to pin your opponents.,https://swse.fandom.com/wiki/Suppression_Fire
A Few Maneuvers,updated,"Dodge, Vehicular Combat","Dodge, Vehicular Combat",no,"You can weave, juke, and roll to avoid enemy fire in the thick of combat.","When piloting a Vehicle of Colossal size or smaller, you grant a +2 dodge bonus to your Vehicle's Reflex Defense. Furthermore, if you are the target of a missile or torpedo attack and the attack roll misses by 5 or more, the projectile self-destructs harmlessly.","You can weave, juke, and roll to avoid enemy fire in the thick of combat.","You can weave, juke, and roll to avoid enemy fire in the thick of combat.",https://swse.fandom.com/wiki/A_Few_Maneuvers
